Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,Diode_SMD_top,74.0,-137.5,0.0,bottom
D10,D,Diode_SMD_top,63.5,-136.0,0.0,bottom
D11,D,Diode_SMD_top,113.725,-59.0,0.0,bottom
D12,D,Diode_SMD_top,112.5,-75.5,0.0,bottom
D13,D,Diode_SMD_top,112.5,-92.5,0.0,bottom
D14,D,Diode_SMD_top,112.275,-109.5,0.0,bottom
D15,D,Diode_SMD_top,78.5,-127.0,0.0,bottom
D16,D,Diode_SMD_top,130.5,-50.0,0.0,bottom
D17,D,Diode_SMD_top,130.5,-67.0,0.0,bottom
D18,D,Diode_SMD_top,130.5,-84.0,0.0,bottom
D19,D,Diode_SMD_top,130.5,-101.0,0.0,bottom
D2,D,Diode_SMD_top,77.0,-145.0,0.0,bottom
D20,D,Diode_SMD_top,85.5,-143.5,0.0,bottom
D21,D,Diode_SMD_top,148.5,-58.5,0.0,bottom
D22,D,Diode_SMD_top,148.5,-75.5,0.0,bottom
D23,D,Diode_SMD_top,148.5,-92.5,0.0,bottom
D24,D,Diode_SMD_top,148.5,-109.5,0.0,bottom
D25,D,Diode_SMD_top,103.5,-138.5,0.0,bottom
D26,D,Diode_SMD_top,166.5,-67.0,0.0,bottom
D27,D,Diode_SMD_top,166.5,-84.0,0.0,bottom
D28,D,Diode_SMD_top,166.5,-101.0,0.0,bottom
D29,D,Diode_SMD_top,166.5,-118.0,0.0,bottom
D3,D,Diode_SMD_top,80.0,-152.5,0.0,bottom
D30,D,Diode_SMD_top,121.5,-133.5,0.0,bottom
D31,D,Diode_SMD_top,184.5,-67.0,0.0,bottom
D32,D,Diode_SMD_top,184.5,-84.0,0.0,bottom
D33,D,Diode_SMD_top,184.5,-101.0,0.0,bottom
D34,D,Diode_SMD_top,184.5,-118.0,0.0,bottom
D35,D,Diode_SMD_top,94.0,-159.5,0.0,bottom
D36,D,Diode_SMD_top,202.5,-75.5,0.0,bottom
D37,D,Diode_SMD_top,202.5,-92.5,0.0,bottom
D38,D,Diode_SMD_top,202.5,-109.5,0.0,bottom
D39,D,Diode_SMD_top,202.0,-125.5,0.0,bottom
D4,D,Diode_SMD_top,70.5,-112.0,0.0,bottom
D40,D,Diode_SMD_top,112.5,-155.5,0.0,bottom
D41,D,Diode_SMD_top,149.5,-42.5,0.0,bottom
D42,D,Diode_SMD_top,166.5,-69.5,0.0,bottom
D43,D,Diode_SMD_top,184.5,-70.0,0.0,bottom
D44,D,Diode_SMD_top,201.5,-59.5,0.0,bottom
D5,D,Diode_SMD_top,54.5,-120.5,0.0,bottom
D6,D,Diode_SMD_top,94.5,-58.5,0.0,bottom
D7,D,Diode_SMD_top,94.5,-75.5,0.0,bottom
D8,D,Diode_SMD_top,94.5,-92.5,0.0,bottom
D9,D,Diode_SMD_top,94.5,-109.5,0.0,bottom
J1,MJ-4PP-9,TRRS_MJ-4PP-9,165.989,-41.1057,0.0,bottom
J2,PMW3360Breakout Board,PMW3360,85.5,-94.31,90.0,top
JP1,Device_Jumper,jamper,170.9928,-37.0078,0.0,top
OL1,OLED,OLED,178.0,-45.0,90.0,top
P1,i2C,i2C_1pin,173.99,-39.37,0.0,top
P2,i2C,i2C_1pin,173.99,-36.4998,0.0,top
R1,PULL_UP,R_0603_1608Metric,172.0,-48.0,180.0,bottom
R2,PULL_UP,R_0603_1608Metric,172.0,-45.5,180.0,bottom
SW00,SW_Push,ResetSW,158.0,-37.5,0.0,bottom
SW1,SW_PUSH,Choc_v2_予備配線,70.0,-140.0,0.0,bottom
SW10,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,64.778237,-128.433365,330.0,bottom
SW11,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,115.55,-52.45,0.0,bottom
SW12,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,115.55,-69.45,0.0,bottom
SW13,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,115.55,-86.45,0.0,bottom
SW14,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,115.55,-103.45,0.0,bottom
SW15,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,80.278237,-119.433365,330.0,bottom
SW16,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,133.55,-43.95,0.0,bottom
SW17,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,133.55,-60.95,0.0,bottom
SW18,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,133.55,-77.95,0.0,bottom
SW19,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,133.55,-94.95,0.0,bottom
SW2,SW_PUSH,Choc_v2_予備配線,73.0,-147.5,0.0,bottom
SW20,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,88.55,-137.45,0.0,bottom
SW21,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,151.55,-52.45,0.0,bottom
SW22,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,151.55,-69.45,0.0,bottom
SW23,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,151.55,-86.45,0.0,bottom
SW24,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,151.55,-103.45,0.0,bottom
SW25,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,106.55,-132.45,0.0,bottom
SW26,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,169.55,-60.95,0.0,bottom
SW27,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,169.55,-77.95,0.0,bottom
SW28,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,169.55,-94.95,0.0,bottom
SW29,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,169.55,-111.95,0.0,bottom
SW3,SW_PUSH,Choc_v2_予備配線,76.0,-155.0,0.0,bottom
SW30,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,124.55,-127.45,0.0,bottom
SW31,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,187.55,-60.95,0.0,bottom
SW32,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,187.55,-77.95,0.0,bottom
SW33,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,187.55,-94.95,0.0,bottom
SW34,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,187.55,-111.95,0.0,bottom
SW35,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,97.55,-154.45,0.0,bottom
SW36,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,205.55,-69.45,0.0,bottom
SW37,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,205.55,-86.45,0.0,bottom
SW38,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,205.55,-103.45,0.0,bottom
SW39,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,205.55,-120.45,0.0,bottom
SW4,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,71.778237,-104.633365,330.0,bottom
SW40,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,115.55,-149.45,0.0,bottom
SW5,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,56.178237,-113.533365,330.0,bottom
SW6,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,97.55,-52.45,0.0,bottom
SW7,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,97.55,-69.45,0.0,bottom
SW8,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,97.55,-86.45,0.0,bottom
SW9,SW_PUSH,Choc_v2_Hotswap_1u_Narrow,97.55,-103.45,0.0,bottom
U1,ProMicro,Micon_ProMicro,195.31,-45.12,-90.0,top
